Issue Key,Issue Type,Summary,Status,Priority,Parent Key,Parent Summary,Labels,Sprint,Blocked By,Blocks,Description
TFSP-17,Epic,Customer Communication and Notification History,To Do,High,,,customer-communication,,,," Objective

Keep customers informed throughout the ticket lifecycle and maintain a traceable history of all customer notifications.

 Context

This Epic covers ticket-creation confirmation, escalation updates, updated timelines, resolution notifications and notification-delivery records.

 Scope

Included:

* Send ticket-creation confirmation containing the ticket ID, assigned or provisional priority and expected first-response time
* Send an escalation notification when the ticket receives additional management review
* Provide an updated response or resolution timeline when applicable
* Send resolution confirmation containing the documented resolution summary, resolution date and time, and instructions for reopening the issue or raising a new ticket if the problem continues
* Record notification type, recipient, date and time, and delivery status
* Provide an optional customer-satisfaction survey after resolution
* If a notification cannot be delivered, mark it as Failed, alert the assigned agent, and allow the agent to resend it or use an approved alternative communication method

 Success criteria

* Customers receive confirmation after a ticket is created
* Customers receive an update when their ticket is escalated
* Resolution confirmation is sent only after the resolution has been documented
* Notification history records the message type, recipient, date and time, and delivery status
* The optional customer-satisfaction survey can be enabled as a future enhancement
* Resolution confirmations include the documented resolution summary, resolution date and time, and appropriate next-step instructions
* Failed notifications remain visible, the assigned agent is alerted, and resend or approved alternative communication is available

 Requirements

High-level requirements:

HLR-08, HLR-11

Functional requirements:

FR-09, FR-47, FR-59 to FR-63

Non-functional requirements:

NFR-06 to NFR-08

 Risks and dependencies

* Notifications depend on a valid customer business email
* Escalation notifications depend on an approved escalation event
* Resolution confirmation depends on a completed resolution summary
* Notification-service failure may delay an important customer update; failed delivery must be recorded and followed up by the assigned agent through resend or an approved alternative communication method
* The customer-satisfaction survey is not required for Release 1

 Prioritization and release

MoSCoW priority:

* Must Have — core customer notifications and notification history
* Could Have — customer-satisfaction survey

Release:

* Release 1 — Core notifications
* Future Backlog — customer-satisfaction survey"
TFSP-18,Story,Send and record customer ticket notifications,To Do,High,TFSP-17,Customer Communication and Notification History,customer-ticket,,TFSP-8; TFSP-16,TFSP-19," Summary

As a customer, I want to receive clear notifications throughout the ticket lifecycle so that I understand the ticket status, expected timeline and next steps.

 Context

This story covers the core customer notifications needed during the ticket lifecycle. It is a Must Have for Release 1 — Core. The optional customer-satisfaction survey will be handled separately as a Future Backlog story.

 Acceptance criteria

# After a ticket is created, the customer receives a confirmation that includes:
#* ticket ID
#* assigned or provisional priority
#* expected first-response time
#* confirmation that the support team received the request
# The automated ticket-creation confirmation does not count as a personalised first response from a Support Agent.
# When a ticket is escalated to the Team Lead or Customer Support Head, the customer is informed that:
#* the issue has been escalated
#* a senior team member is reviewing it
#* an updated timeline will be provided
# The escalation notification does not suggest that escalation automatically changed the ticket priority or promise an exact timeline before the responsible team member reviews the ticket.
# When a ticket is resolved, the customer receives:
#* the documented resolution summary
#* resolution date and time
#* instructions for reopening the issue or raising a new ticket if the problem continues
# A resolution confirmation is not sent until the required resolution summary has been completed.
# For every customer notification, the system records:
#* notification type
#* recipient
#* date and time sent
#* delivery status as Successful, Pending or Failed
# If a notification cannot be delivered, the system:
#* marks the notification as Failed
#* alerts the assigned agent
#* allows the agent to resend the message or use an approved alternative communication method
# Any alternative communication method must follow approved communication, privacy, and data-protection policies.

 Other information

Related requirements:

* HLR-08, HLR-11
* FR-09, FR-59, FR-60, FR-62, FR-63
* NFR-07, NFR-08

Related UAT:

* UAT-08

MoSCoW priority:

* Must Have

Release:

* Release 1 — Core"
TFSP-19,Story,Offer a post-resolution customer-satisfaction survey,To Do,Low,TFSP-17,Customer Communication and Notification History,customer-satisfaction,,TFSP-18,," Summary

As a customer, I want the option to complete a satisfaction survey after my ticket is resolved so that I can provide feedback about my support experience.

 Context

This optional feature adds a customer-satisfaction survey link to the resolution confirmation. It is a Could Have requirement planned for the Future Backlog and is not required for Release 1.

 Acceptance criteria

# When the survey feature is enabled, the resolution confirmation includes a customer-satisfaction survey link.
# The survey link is provided only after the ticket has been resolved and the required resolution summary has been documented.
# Completing the survey is optional and does not affect the ticket status or the customer’s ability to report that the problem continues.
# If the survey feature is disabled or unavailable, the core resolution confirmation is still sent without the survey link.

 Other information

Related requirements:

* HLR-08
* FR-61

Related UAT:

* UAT-08 — optional survey validation

MoSCoW priority:

* Could Have

Release:

* Future Backlog"
TFSP-20,Epic,Operational Management Dashboard,To Do,Medium,,,operational-dashboard,,,," Objective

Provide authorized support-management users with a current operational view of ticket workload, SLA risk and escalations so they can identify issues requiring attention and take appropriate action.

 Context

This Epic covers the operational dashboard for the Team Lead and Customer Support Head. It provides management visibility but does not replace the underlying ticket, routing, SLA-monitoring or escalation functions.

The dashboard is a Should Have capability planned for Release 2 — Enhancement. Advanced analytics, predictive SLA forecasting and business-intelligence reporting are outside the approved scope.

 Scope

Included:

* Restrict dashboard access to the Team Lead and Customer Support Head by default
* Allow Support Agent access to management-level information only when specifically authorized
* Display open tickets by:
** priority
** category
** status
** customer tier
* Highlight tickets approaching an SLA breach
* Display tickets that have already breached an SLA
* Display the time remaining before each applicable deadline
* Order At Risk tickets by the nearest SLA deadline
* Display currently escalated tickets, including:
** escalation reason
** escalation level
** current ticket owner
** time since escalation
* Display the number of active tickets assigned to each Support Agent
* Display first-response and resolution SLA-compliance percentages separately
* Allow filtering by:
** priority
** category
** status
** customer tier
** assigned agent
** SLA status
* Allow authorized users to open the relevant ticket directly from the dashboard, subject to their existing permissions
* Reflect changes to ticket status, priority, assignment, SLA risk or escalation status within one minute
* Require secure authentication and role-based access for management information

 Success criteria

* The Team Lead and Customer Support Head can review the current support queue from one operational view
* At Risk tickets are clearly identified and ordered by the nearest SLA deadline
* Current escalations, ownership and agent workload are visible
* First-response and resolution SLA compliance are displayed separately
* Authorized users can filter dashboard information and open relevant tickets for review or action
* Applicable ticket and SLA changes appear on the dashboard within one minute
* Management-level information is not visible to unauthorized users

 Requirements

High-level requirement:

* HLR-09

Functional requirements:

* FR-49 to FR-58

Non-functional requirements:

* NFR-03
* NFR-06 to NFR-08

 Risks and dependencies

* Dashboard information depends on accurate ticket, assignment, SLA and escalation data
* SLA-risk visibility depends on the approved SLA calculations and warning rules
* Workload visibility depends on current ticket-ownership information
* The one-minute update requirement requires technical validation during design and testing
* Dashboard access depends on correctly configured authentication and role-based permissions
* The dashboard is an operational view and does not include predictive analytics or advanced business-intelligence reporting

 Prioritization and release

MoSCoW priority:

* Should Have

Release:

* Release 2 — Enhancement"
TFSP-21,Story,"Monitor ticket, SLA, escalation and agent workload",To Do,Medium,TFSP-20,Operational Management Dashboard,dashboard-monitoring,,TFSP-13; TFSP-15; TFSP-16,TFSP-22," Summary

As a Team Lead, I want a single operational view of open tickets, SLA risks, escalations and agent workload so that I can prioritize interventions and manage the support queue effectively.

 Context

This story covers the monitoring and visibility part of the Operational Management Dashboard. It is planned as a Should Have capability for Release 2 — Enhancement.

Dashboard filtering, direct ticket access, and detailed access restrictions are handled in a separate child story.

 Acceptance criteria

# The Team Lead and Customer Support Head can access the operational dashboard as authorized management users.
# The dashboard displays open tickets by:
#* priority
#* category
#* status
#* customer tier
# The dashboard:
#* highlights tickets approaching an SLA breach
#* identifies tickets that have already breached an SLA
#* displays the time remaining before each applicable deadline
#* orders At Risk tickets by the nearest SLA deadline
# For currently escalated tickets, the dashboard displays:
#* escalation reason
#* escalation level
#* current ticket owner
#* time since escalation
# The dashboard displays the number of active tickets assigned to each Support Agent.
# The dashboard displays the current percentage of tickets meeting:
#* first-response SLA targets
#* resolution SLA targets
The two compliance percentages are displayed separately.
# Changes to ticket status, priority, assignment, SLA risk, or escalation status appear on the dashboard within one minute.
# The dashboard provides operational monitoring only and does not include predictive SLA forecasting or advanced business-intelligence analysis.

 Other information

Related requirements:

* HLR-09
* FR-49 to FR-55
* NFR-03

Supporting UAT references:

* UAT-05 to UAT-07 — these scenarios use dashboard visibility as supporting evidence

MoSCoW priority:

* Should Have

Release:

* Release 2 — Enhancement"
TFSP-22,Story,Filter and securely access dashboard information,To Do,Medium,TFSP-20,Operational Management Dashboard,dashboard-access,,TFSP-21,," Summary

As an authorized support-management user, I want to filter dashboard information and open relevant tickets so I can focus on specific operational risks and take appropriate action without exposing management information to unauthorized users.

 Context

This story covers dashboard filtering, direct ticket access, and access restrictions.  
The dashboard’s monitoring information is covered by the related story “Monitor ticket, SLA, escalation and agent workload.”  
This is a Should Have capability planned for Release 2 — Enhancement.

 Acceptance criteria

# The Team Lead and Customer Support Head can filter dashboard information by:
#* priority
#* category
#* status
#* customer tier
#* assigned agent
#* SLA status
# The dashboard displays only information matching the selected filter criteria.
# authorized users can open the relevant ticket directly from the dashboard for review or action.
# Opening a ticket from the dashboard does not provide any permissions beyond those already assigned to the user’s role.
# Dashboard access is restricted to the Team Lead and Customer Support Head by default.
# Support Agents cannot view management-level SLA, compliance, or workload information unless they have been specifically authorized.
# Users access the dashboard through company-approved secure authentication.
# Privileged dashboard access for the Team Lead and Customer Support Head requires multi-factor authentication.
# Users can only view or change information permitted for their assigned role.

 Other information

Related requirements:

* HLR-09
* FR-56 to FR-58
* NFR-06, NFR-08

Testing note:

* Detailed dashboard filtering and access-control UAT will be prepared for Release 2. No execution result is claimed in the current portfolio baseline.

MoSCoW priority:

* Should Have

Release:

* Release 2 — Enhancement"
TFSP-24,Epic,Rule Configuration and Change Control,To Do,Medium,,,rule-configuration,,,," Objective

Enable authorized System Administrators to manage approved operational rules without routine code changes.  
Ensure every configuration change is validated, approved, traceable, and recoverable.

 Context

This Epic covers configuration of priority rules, SLA targets, escalation thresholds, and routing criteria.

It includes Release 2 enhancement work for configuration access, rule updates, validation, approval, change history, version retention, and restoration of an earlier approved version.

A dedicated operational rollback workflow, including an explicit rollback record when a new configuration causes a problem, is kept in the Future Backlog.

 Scope

Included:

* Provide a configuration area accessible only to authorized System Administrators
* Require company-approved secure authentication and multi-factor authentication for privileged configuration access
* Allow authorized System Administrators to update approved:
** priority rules
** SLA targets
** escalation thresholds
** routing criteria
* Allow these updates through the system interface without requiring code changes
* Check configuration changes for:
** missing values
** invalid time limits
** conflicting rules
* Prevent an invalid configuration from being activated
* Show a clear explanation of what must be corrected
* Submit configuration changes to the Customer Support Head for review
* Notify the Customer Support Head when a change is waiting for approval
* Allow the Customer Support Head to approve or reject a submitted change
* Prevent a configuration change from becoming active before approval
* Retain previous approved configuration versions for review
* Allow an authorized user to restore an earlier approved version when required
* Record for every configuration change:
** rule or value changed
** previous value
** new value
** person making the change
** person approving the change
** date and time
** reason for the change
* Provide a Future Backlog rollback workflow when an approved change causes an operational problem
* Record any future rollback action in the configuration history

Out of scope:

* Broader product-code changes
* Detailed technical validation logic, which will be defined during solution design and testing

 Success criteria

* Only authorized System Administrators can access configuration functions
* Approved operational rules can be updated without routine code changes
* Invalid or conflicting configurations cannot be activated
* Users receive a clear explanation when configuration validation fails
* No configuration change becomes active before Customer Support Head approval
* Previous and current configuration values remain traceable
* Earlier approved versions can be reviewed and restored by an authorized user
* Every configuration change retains complete maker, approver, time, and reason information
* A future rollback workflow can restore a previously approved configuration and record the rollback action

 Risks and dependencies

* Incorrect configuration could affect ticket priority, SLA, escalation, or routing behaviour
* Configuration security depends on correctly implemented authentication and role-based access
* Activation depends on timely review by the Customer Support Head
* Version restoration and rollback depend on reliable approved-version history
* Detailed technical validation logic depends on solution design and testing

 Other information

* Requirements:
** HLR-10, HLR-11
** FR-64 to FR-70
** NFR-06, NFR-08, NFR-12
* MoSCoW priority:
** Should Have — configuration, validation, approval, and version history
** Could Have — dedicated rollback workflow
* Release:
** Release 2 — Enhancement — FR-64 to FR-69
** Future Backlog — FR-70
* Testing note:
** Dedicated configuration and rollback UAT scenarios will be prepared for the applicable Release 2 and Future Backlog work. No execution result is claimed in the current portfolio baseline."
TFSP-25,Story,Configure and validate approved operational rules,To Do,Medium,TFSP-24,Rule Configuration and Change Control,configuration-validation,,,TFSP-26," Summary

As a System Administrator, I want to configure and validate approved operational rules through the system interface. This helps prepare approved changes without routine code changes or invalid configurations affecting ticket handling.

 Context

This story covers authorized configuration access, rule editing, and validation. Approval, change history, and rollback are handled in separate stories.

This is a Should Have capability planned for Release 2 — Enhancement.

 Acceptance criteria

# Only authorized System Administrators can access the configuration area.
# Configuration access requires company-approved secure authentication and multi-factor authentication.
# The System Administrator can update approved:
#* priority rules
#* SLA targets
#* escalation thresholds
#* routing criteria
# Approved operational-rule changes can be prepared through the system interface without requiring code changes.
# Broader product-code or technical-architecture changes cannot be performed through the configuration area.
# Before a configuration change is saved or submitted, the system checks for:
#* missing required values
#* invalid time limits
#* conflicting rules
# If a validation error is found:
#* the configuration cannot be activated
#* the system identifies the error
#* the system clearly explains what must be corrected
# A valid configuration change can be submitted for approval but does not become active until the separate approval process is completed.
# Users can only view or change configuration information permitted for their assigned role.

 Other information

Related requirements:

* HLR-10
* FR-64, FR-65, FR-67
* NFR-06, NFR-08, NFR-12

Dependency:

* Activation depends on the configuration-approval Story.

Testing note:

* Detailed configuration-validation UAT will be prepared for Release 2. No execution result is claimed in the current portfolio baseline.

MoSCoW priority:

* Should Have

Release:

* Release 2 — Enhancement"
TFSP-26,Story,Approve and audit configuration changes,To Do,Medium,TFSP-24,Rule Configuration and Change Control,configuration-approval-history,,TFSP-25,TFSP-27," Summary

As a Customer Support Head, I want configuration changes to be reviewed, approved and recorded before activation so that only authorized changes are applied and remain traceable.

 Context

This story covers configuration approval, retention of approved versions, basic restoration, and change history.

Configuration editing and validation are handled separately.

The dedicated rollback workflow for a configuration that causes an operational problem is a separate Future Backlog Story.

 Acceptance criteria

# When a valid configuration change is submitted, its status is recorded as *Pending Approval*.
# The Customer Support Head is notified that a configuration change is awaiting review.
# The Customer Support Head can review the proposed configuration change and either approve or reject it.
# A configuration change does not become active before it is approved by the Customer Support Head.
# An approved change can become active, while a rejected change remains inactive.
# For every configuration change, the system records:
#* rule or value changed
#* previous value
#* new value
#* person making the change
#* person approving the change
#* date and time
#* reason for the change
# The previous value remains preserved and is not overwritten by the new value.
# The system retains previous approved configuration versions for authorized review.
# An authorized user can select and restore a previous approved configuration version when required.
# Only approved configuration versions are eligible for restoration.
# A restoration remains visible in the configuration history.
# Users can only review, approve, or restore configuration information permitted for their assigned role.

 Other information

Related requirements:

* HLR-10, HLR-11
* FR-66, FR-68, FR-69
* NFR-06, NFR-08

Dependencies:

* A configuration must pass the separate validation process before it is submitted for approval.
* The Future Backlog rollback Story depends on approved-version history.

Testing note:

* Detailed approval, version-history, and restoration UAT will be prepared for Release 2. No execution result is claimed in the current portfolio baseline.

MoSCoW priority:

* Should Have

Release:

* Release 2 — Enhancement"
TFSP-27,Story,Roll back a problematic configuration,To Do,Low,TFSP-24,Rule Configuration and Change Control,configuration-rollback,,TFSP-26,," Summary

As a System Administrator, I want to roll back a problematic configuration to a previously approved version so that I can restore a known working configuration without losing the change history.

 Context

This issue adds a dedicated rollback workflow for cases where an approved configuration change causes a problem.

Release 2 already provides approved-version history and basic restoration. This enhanced rollback workflow is a Could Have capability kept in the Future Backlog.

 Acceptance criteria

# An authorized System Administrator can start a rollback when the active configuration causes an operational problem.
# Only a previously approved configuration version can be selected for rollback.
# An unapproved, rejected, or incomplete configuration cannot be activated through the rollback process.
# The selected approved configuration is restored as the active configuration when the rollback is completed successfully.
# The rollback does not delete the problematic configuration or any earlier configuration history.
# For every rollback, the system records:
#* configuration version being replaced
#* approved version being restored
#* person initiating the rollback
#* date and time
#* reason for the rollback
#* rollback outcome
# The rollback record remains available in the configuration history.
# Rollback access requires company-approved secure authentication, multi-factor authentication, and the appropriate System Administrator permission.
# If the rollback cannot be completed, the system displays a clear message explaining the failure and the next action required.

 Other information

Related requirements:

* HLR-10, HLR-11
* FR-70
* NFR-06, NFR-08, NFR-12

Dependencies:

* Approved configuration-version history must be available.
* The version selected for rollback must already have been approved.

Testing note:

* Detailed rollback UAT will be prepared when this Future Backlog capability is selected for delivery. No execution result is claimed in the current portfolio baseline.

MoSCoW priority:

* Could Have

Release:

* Future Backlog"
